題號,類型,題目,答案,圖片檔案,圖片URL,題目ID
1,Q,s_____________y,,mja_104.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_104.jpg,2007
2,Q,s_____________t,,mja_115.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_115.jpg,2018
3,Q,r_____________t,,mja_019.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_019.jpg,190
4,Q,C_____________a,,mja_025.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_025.jpg,196
5,Q,c_____________n,,mja_008.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_008.jpg,179
6,Q,p_____________r,,mja_016.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/2023/MJA/mja_016.jpg,3739
7,Q,c_____________e,,mja_015.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/2023/MJA/mja_015.jpg,3738
8,Q,n_____________t,,mja_173.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_173.jpg,3146
9,Q,c_____________y,,mja_043.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_043.jpg,917
10,Q,s_____________e,,mja_066.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_066.jpg,1301
11,Q,s_____________y,,mja_038.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_038.jpg,912
12,Q,f_____________r,,mja_139.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_139.jpg,2642
13,Q,l_____________n,,mja_014.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_014.jpg,185
14,Q,f_____________y,,mja_144.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_144.jpg,2647
15,Q,b_____________m,,mja_008.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/2023/MJA/mja_008.jpg,3731
16,Q,c_____________p,,mja_111.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_111.jpg,2014
17,Q,w_____________y,,mja_143.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_143.jpg,2646
18,Q,k_____________e,,mja_059.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_059.jpg,933
19,Q,p_____________e,,mja_155.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/MJA/mja_155.jpg,3128
20,Q,b_____________m,,mja_017.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/2023/MJA/mja_017.jpg,3740
21,Q,w_____________w,,mja_028.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/2023/MJA/mja_028.jpg,3751
22,Q,e_____________t,,mja_029.jpg,https://joytscloud.s3.ap-northeast-1.amazonaws.com/files/albums/spell/2023/MJA/mja_029.jpg,3752
